fav_count,q_total,q_next_in28days_count,q_next_after29days_count,q_no_repeat_count,q_retention_28days,q_retention_after29days,no_repeat_rate
808,4,3,1,0,0.75,0.25,0
810,2,1,1,0,0.5,0.5,0
811,1,1,0,0,1,0,0
812,3,3,0,0,1,0,0
813,2,2,0,0,1,0,0
814,1,0,0,1,0,0,1
815,7,6,0,1,0.8571428571428571,0,0.14285714285714285
816,2,1,1,0,0.5,0.5,0
817,5,5,0,0,1,0,0
818,4,3,1,0,0.75,0.25,0
819,4,4,0,0,1,0,0
820,6,5,1,0,0.83333333333333337,0.16666666666666666,0
821,5,2,1,2,0.4,0.2,0.4
823,2,2,0,0,1,0,0
824,2,1,1,0,0.5,0.5,0
825,3,2,0,1,0.66666666666666663,0,0.33333333333333331
826,5,5,0,0,1,0,0
827,4,1,2,1,0.25,0.5,0.25
828,4,4,0,0,1,0,0
829,4,4,0,0,1,0,0
830,4,3,1,0,0.75,0.25,0
831,7,4,2,1,0.5714285714285714,0.2857142857142857,0.14285714285714285
832,2,2,0,0,1,0,0
833,3,1,1,1,0.33333333333333331,0.33333333333333331,0.33333333333333331
834,3,3,0,0,1,0,0
835,1,1,0,0,1,0,0
836,3,3,0,0,1,0,0
837,1,0,1,0,0,1,0
838,4,3,1,0,0.75,0.25,0
839,1,1,0,0,1,0,0
840,4,3,1,0,0.75,0.25,0
841,1,1,0,0,1,0,0
842,3,3,0,0,1,0,0
843,3,2,1,0,0.66666666666666663,0.33333333333333331,0
844,4,1,2,1,0.25,0.5,0.25
846,3,2,0,1,0.66666666666666663,0,0.33333333333333331
847,1,1,0,0,1,0,0
848,2,1,1,0,0.5,0.5,0
849,1,0,1,0,0,1,0
850,4,3,1,0,0.75,0.25,0
851,2,2,0,0,1,0,0
852,1,1,0,0,1,0,0
853,3,2,1,0,0.66666666666666663,0.33333333333333331,0
854,1,1,0,0,1,0,0
855,7,6,1,0,0.8571428571428571,0.14285714285714285,0
856,5,4,0,1,0.8,0,0.2
857,2,2,0,0,1,0,0
858,2,2,0,0,1,0,0
859,2,0,1,1,0,0.5,0.5
860,4,3,1,0,0.75,0.25,0
861,6,6,0,0,1,0,0
862,1,1,0,0,1,0,0
863,1,1,0,0,1,0,0
864,5,4,1,0,0.8,0.2,0
865,7,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285
866,1,0,0,1,0,0,1
867,6,6,0,0,1,0,0
868,4,0,4,0,0,1,0
869,2,0,1,1,0,0.5,0.5
870,2,2,0,0,1,0,0
872,2,2,0,0,1,0,0
873,1,1,0,0,1,0,0
874,2,0,1,1,0,0.5,0.5
875,1,1,0,0,1,0,0
876,3,3,0,0,1,0,0
880,2,2,0,0,1,0,0
881,2,2,0,0,1,0,0
884,3,2,1,0,0.66666666666666663,0.33333333333333331,0
885,3,1,2,0,0.33333333333333331,0.66666666666666663,0
886,5,4,1,0,0.8,0.2,0
887,5,5,0,0,1,0,0
888,2,2,0,0,1,0,0
889,2,2,0,0,1,0,0
890,4,2,2,0,0.5,0.5,0
891,3,2,0,1,0.66666666666666663,0,0.33333333333333331
892,2,1,1,0,0.5,0.5,0
893,5,2,2,1,0.4,0.4,0.2
894,2,2,0,0,1,0,0
895,4,3,1,0,0.75,0.25,0
896,3,2,0,1,0.66666666666666663,0,0.33333333333333331
897,1,1,0,0,1,0,0
899,2,2,0,0,1,0,0
900,2,1,0,1,0.5,0,0.5
901,2,1,1,0,0.5,0.5,0
902,3,3,0,0,1,0,0
903,3,2,1,0,0.66666666666666663,0.33333333333333331,0
904,4,4,0,0,1,0,0
905,3,2,1,0,0.66666666666666663,0.33333333333333331,0
906,4,2,2,0,0.5,0.5,0
907,2,2,0,0,1,0,0
908,5,4,1,0,0.8,0.2,0
909,2,2,0,0,1,0,0
910,3,3,0,0,1,0,0
911,3,1,1,1,0.33333333333333331,0.33333333333333331,0.33333333333333331
912,1,0,1,0,0,1,0
913,3,3,0,0,1,0,0
914,1,1,0,0,1,0,0
915,1,0,1,0,0,1,0
916,3,3,0,0,1,0,0
917,2,1,1,0,0.5,0.5,0
918,2,0,2,0,0,1,0
919,2,1,1,0,0.5,0.5,0
920,2,2,0,0,1,0,0
921,6,3,3,0,0.5,0.5,0
922,3,2,0,1,0.66666666666666663,0,0.33333333333333331
923,2,0,1,1,0,0.5,0.5
924,8,5,2,1,0.625,0.25,0.125
925,2,1,1,0,0.5,0.5,0
926,4,3,0,1,0.75,0,0.25
927,1,1,0,0,1,0,0
928,2,2,0,0,1,0,0
929,3,2,1,0,0.66666666666666663,0.33333333333333331,0
930,4,3,1,0,0.75,0.25,0
931,1,0,0,1,0,0,1
932,4,4,0,0,1,0,0
933,2,1,1,0,0.5,0.5,0
934,5,4,0,1,0.8,0,0.2
935,4,3,0,1,0.75,0,0.25
936,6,6,0,0,1,0,0
937,2,1,1,0,0.5,0.5,0
938,5,3,2,0,0.6,0.4,0
940,1,1,0,0,1,0,0
941,2,2,0,0,1,0,0
943,1,1,0,0,1,0,0
944,4,4,0,0,1,0,0
945,1,1,0,0,1,0,0
946,3,3,0,0,1,0,0
947,2,1,1,0,0.5,0.5,0
948,1,1,0,0,1,0,0
950,2,2,0,0,1,0,0
951,2,1,1,0,0.5,0.5,0
952,4,2,2,0,0.5,0.5,0
953,2,1,1,0,0.5,0.5,0
954,3,3,0,0,1,0,0
955,3,3,0,0,1,0,0
956,5,5,0,0,1,0,0
957,2,2,0,0,1,0,0
958,3,2,1,0,0.66666666666666663,0.33333333333333331,0
959,1,0,1,0,0,1,0
962,2,2,0,0,1,0,0
964,2,2,0,0,1,0,0
965,3,1,2,0,0.33333333333333331,0.66666666666666663,0
966,3,3,0,0,1,0,0
967,1,0,0,1,0,0,1
968,2,2,0,0,1,0,0
969,1,1,0,0,1,0,0
970,2,2,0,0,1,0,0
972,3,2,1,0,0.66666666666666663,0.33333333333333331,0
974,2,0,0,2,0,0,1
975,2,2,0,0,1,0,0
976,1,1,0,0,1,0,0
977,3,2,1,0,0.66666666666666663,0.33333333333333331,0
978,3,1,2,0,0.33333333333333331,0.66666666666666663,0
979,2,1,1,0,0.5,0.5,0
980,3,3,0,0,1,0,0
981,1,1,0,0,1,0,0
984,2,1,1,0,0.5,0.5,0
985,1,0,0,1,0,0,1
987,1,0,1,0,0,1,0
988,2,1,1,0,0.5,0.5,0
989,1,0,0,1,0,0,1
990,2,1,1,0,0.5,0.5,0
991,2,2,0,0,1,0,0
992,1,0,1,0,0,1,0
993,5,1,3,1,0.2,0.6,0.2
994,2,1,0,1,0.5,0,0.5
996,1,1,0,0,1,0,0
997,2,2,0,0,1,0,0
998,1,1,0,0,1,0,0
1001,1,0,0,1,0,0,1
1002,2,2,0,0,1,0,0
1003,1,1,0,0,1,0,0
1004,2,2,0,0,1,0,0
1005,3,2,1,0,0.66666666666666663,0.33333333333333331,0
1006,3,2,1,0,0.66666666666666663,0.33333333333333331,0
1007,2,2,0,0,1,0,0
1008,3,1,2,0,0.33333333333333331,0.66666666666666663,0
1009,1,1,0,0,1,0,0
1010,1,0,0,1,0,0,1
1011,1,1,0,0,1,0,0
1012,4,2,1,1,0.5,0.25,0.25
1013,3,1,1,1,0.33333333333333331,0.33333333333333331,0.33333333333333331
1014,1,1,0,0,1,0,0
1015,1,1,0,0,1,0,0
1016,2,1,1,0,0.5,0.5,0
1018,3,2,1,0,0.66666666666666663,0.33333333333333331,0
1019,2,0,2,0,0,1,0
1020,1,1,0,0,1,0,0
1022,6,2,4,0,0.33333333333333331,0.66666666666666663,0
1023,2,1,0,1,0.5,0,0.5
1025,3,2,1,0,0.66666666666666663,0.33333333333333331,0
1027,1,1,0,0,1,0,0
1028,1,0,1,0,0,1,0
1032,2,2,0,0,1,0,0
1034,1,1,0,0,1,0,0
1035,1,1,0,0,1,0,0
1036,5,3,2,0,0.6,0.4,0
