a_month,a_total_count,a_with_vote_28days,vote_count,vote_rate,avg_votes
2017-02-01,245860,107000,182879,0.43520702839014075,1.7091495327102804
2017-03-01,279675,118795,199016,0.42476088316796279,1.6752893640304727
2017-04-01,245409,103741,175375,0.42272695785403142,1.6905080922682449
2017-05-01,257270,108780,184563,0.4228242702219458,1.6966629895201324
2017-06-01,245904,104939,179745,0.42674783655410242,1.7128522284374732
2017-07-01,252143,107709,186522,0.42717426222421406,1.7317215831546111
2017-08-01,250242,107509,187227,0.42962012771637054,1.7415007115683339
2017-09-01,224999,97721,167474,0.43431748585549268,1.7137974437429007
2017-10-01,232243,100058,170443,0.43083322209926672,1.7034420036378901
2017-11-01,229753,97938,166082,0.42627517377357421,1.6957871306336663
2017-12-01,197207,85662,147789,0.43437606170166371,1.7252574070182811
2018-01-01,218525,96726,175352,0.4426312778858254,1.8128734776585407
2018-02-01,208562,91102,157498,0.43681015717148858,1.7288094663124849
2018-03-01,234795,101184,173706,0.43094614450903979,1.716733870967742
2018-04-01,220092,95223,163564,0.43265089144539554,1.7176942545393445
2018-05-01,224899,97770,170576,0.43472847811684356,1.7446660529814872
2018-06-01,207145,88772,152820,0.42855004948224673,1.7214887577163971
2018-07-01,217481,93238,159360,0.42871791098992557,1.7091743709646281
2018-08-01,219882,95536,164922,0.43448758879762783,1.7262811924300787
2018-09-01,200963,87146,152944,0.43364201370401517,1.7550317857388751
2018-10-01,221748,94648,162601,0.42682684849468766,1.717954948863156
2018-11-01,202427,87203,149220,0.43078739496213447,1.7111796612501864
2018-12-01,183305,79685,139767,0.43471263740759936,1.7539938507874757
2019-01-01,209244,89940,154880,0.42983311349429376,1.7220369134978875
2019-02-01,204001,87634,150263,0.42957632560624703,1.7146655407718465
2019-03-01,221234,94639,160363,0.42777782800112096,1.6944705671023574
2019-04-01,208377,88425,150778,0.42435105601865847,1.7051512581283574
2019-05-01,203510,86387,146737,0.42448528327846297,1.6986004838691007
2019-06-01,183876,78821,135951,0.42866388218147011,1.7248068408165336
2019-07-01,203410,85470,144264,0.42018583157170247,1.6878904878904879
2019-08-01,190908,81459,137603,0.42669243824250425,1.689230164868216
2019-09-01,187897,78720,131384,0.41895293698143132,1.6690040650406504
2019-10-01,206639,85364,140332,0.4131069159258417,1.6439248395108008
2019-11-01,202840,86315,141099,0.42553243936107277,1.6346984880959277
2019-12-01,183532,79667,131188,0.43407689122332888,1.6467044070945309
2020-01-01,200275,88583,148355,0.44230682811134692,1.6747570075522391
2020-02-01,194954,83927,136370,0.43049642479764455,1.62486446554744
2020-03-01,199217,85207,134955,0.42770948262447483,1.5838487448214349
2020-04-01,234203,98259,149685,0.41954629103811653,1.5233719048636767
2020-05-01,244333,102450,156081,0.41930480123438096,1.5234846266471449
2020-06-01,226100,95701,148306,0.42326846528084916,1.5496807765854066
2020-07-01,221037,93983,147108,0.42519125757226167,1.5652618026664398
